,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
161,[8],[7],[7],"[128, 64, 8]",0.017031624999274495,"[0.6471118927001953, 0.6471118927001953]"
162,"[8, 6, 5]","[6, 21, 23]","[7, 5, 3]","[128, 32]",0.00017686349128114744,"[0.9625781178474426, 0.9625781178474426]"
163,[10],[11],[2],"[128, 32]",0.0012058003207776706,"[0.8170997500419617, 0.8170997500419617]"
164,"[5, 3, 3, 3]","[2, 3, 16, 21]","[9, 9, 4, 3]",[32],0.00030659136472144287,"[0.965129017829895, 0.965129017829895]"
165,"[8, 7, 5, 3, 2]","[6, 9, 16, 20, 23]","[9, 5, 4, 3, 3]","[32, 16, 8]",0.0022263779835637733,"[0.6926146745681763, 0.6926146745681763]"
166,"[10, 9, 5, 4, 4]","[1, 2, 5, 11, 17]","[9, 7, 7, 4, 4]",[32],0.0060084675082201725,"[0.5129797458648682, 0.5129797458648682]"
167,"[10, 10, 6]","[7, 17, 20]","[4, 3, 2]","[128, 8, 4]",0.0516684595997423,"[0.7402003407478333, 0.7402003407478333]"
168,"[2, 1, 1]","[2, 10, 19]","[10, 6, 1]","[64, 2]",5.3253005169610664e-05,"[0.9828979969024658, 0.9828979969024658]"
169,"[6, 5, 5]","[9, 13, 19]","[4, 1, 1]",[128],6.376347245639962e-05,"[0.9807935357093811, 0.9807935357093811]"
170,"[7, 4]","[3, 6]","[6, 4]","[64, 32, 4]",0.005090441075968672,"[0.36241278052330017, 0.36241278052330017]"
171,"[9, 7]","[16, 24]","[9, 3]","[16, 8, 4]",0.0006017352886997965,"[0.9412519931793213, 0.9412519931793213]"
172,"[9, 8, 7, 5]","[1, 14, 16, 16]","[9, 8, 6, 1]","[128, 32]",0.03305781477777257,"[0.9939604997634888, 0.9939604997634888]"
173,"[6, 4]","[3, 20]","[8, 5]","[16, 4]",0.023254723044692387,"[0.32834959030151367, 0.32834959030151367]"
174,"[9, 7]","[7, 13]","[3, 3]","[16, 8, 4]",0.03693768861473256,"[0.7563051581382751, 0.7563051581382751]"
175,"[7, 3, 3]","[8, 14, 22]","[10, 9, 5]","[32, 4, 4]",0.0012683256883866862,"[0.9021987318992615, 0.9021987318992615]"
176,"[7, 6, 4, 4, 3]","[7, 13, 14, 19, 20]","[7, 4, 3, 1, 1]","[16, 8, 4]",0.0027183941984240518,"[0.87376868724823, 0.87376868724823]"
177,"[10, 9]","[14, 15]","[8, 1]",[2],5.015408213019209e-05,"[0.9879541397094727, 0.9879541397094727]"
178,[5],[13],[9],"[128, 64, 64]",0.011646417563150172,"[0.724998414516449, 0.724998414516449]"
179,"[8, 6, 6, 5, 3]","[5, 7, 8, 11, 15]","[7, 6, 5, 1, 1]",[32],1.9591295737320584e-05,"[0.9832755923271179, 0.9832755923271179]"
180,"[8, 8, 5]","[6, 7, 19]","[10, 9, 4]","[8, 4, 4]",5.093426585712063e-05,"[0.982972264289856, 0.982972264289856]"
181,"[10, 3, 1]","[2, 6, 14]","[10, 6, 3]","[32, 32]",0.0007150531331628879,"[0.9538754224777222, 0.9538754224777222]"
182,[2],[12],[5],"[4, 2]",0.020917549401079625,"[0.631706178188324, 0.6317062377929688]"
183,[1],[18],[7],"[64, 4, 2]",4.944131539454911e-05,"[0.984261691570282, 0.984261691570282]"
184,"[10, 6, 6, 4, 2]","[1, 6, 6, 10, 20]","[7, 5, 3, 2, 1]","[64, 8]",0.00018502752375815397,"[0.9588558673858643, 0.9588558673858643]"
185,"[8, 6, 2]","[9, 19, 21]","[7, 4, 3]",[32],0.0009234547820058649,"[1.0118887424468994, 1.0118887424468994]"
186,"[10, 5, 2, 1]","[9, 10, 14, 14]","[7, 5, 3, 1]",[32],0.0008140576383240949,"[0.950661838054657, 0.950661838054657]"
187,"[6, 5, 5, 4, 2]","[4, 11, 21, 23, 24]","[9, 8, 6, 3, 2]","[128, 32, 8]",3.130235262072051e-05,"[0.9821714758872986, 0.9821714758872986]"
188,"[6, 5, 5]","[4, 5, 9]","[9, 8, 2]",[32],6.2825299487033e-05,"[0.9889012575149536, 0.9889012575149536]"
189,"[10, 9, 6]","[2, 10, 17]","[10, 9, 8]","[16, 2]",0.00016972059172020495,"[0.9770240783691406, 0.9770240783691406]"
190,[9],[7],[4],"[16, 4, 4]",0.007566753087159565,"[0.5228349566459656, 0.5228349566459656]"
191,"[8, 7, 6]","[1, 10, 11]","[3, 3, 2]","[4, 4]",0.0032955079900965,"[0.752721905708313, 0.752721905708313]"
