,kernel_sizes,filters,pool_sizes,FC_nodes,lr,performance
152,"[9, 5, 3]","[9, 9, 15]","[10, 8, 7]",[32],2.2644760642661225e-05,"[0.9791736602783203, 0.9791736602783203]"
153,"[10, 6, 6, 5, 2]","[2, 9, 10, 13, 21]","[9, 7, 3, 3, 3]","[128, 16, 2]",0.0022829933988606625,"[0.6623988151550293, 0.6623988151550293]"
154,"[10, 7, 6, 5, 3]","[7, 8, 8, 20, 22]","[8, 8, 5, 3, 1]",[4],1.2715908354513189e-05,"[0.9891631007194519, 0.9891631007194519]"
155,"[6, 2]","[2, 11]","[7, 4]","[128, 4, 4]",0.0034309435558587324,"[0.8194546699523926, 0.8194546699523926]"
156,[4],[13],[1],"[32, 2, 2]",0.0009440473743713825,"[49.7069206237793, 49.7069206237793]"
157,"[8, 3, 1]","[6, 22, 22]","[10, 9, 1]","[32, 16, 2]",8.272100947629254e-05,"[0.9759429693222046, 0.9759429693222046]"
158,"[6, 5]","[12, 23]","[3, 2]",[64],0.07632204739224427,"[0.5916264653205872, 0.5916264653205872]"
159,"[5, 5]","[18, 23]","[3, 3]","[16, 16, 8]",0.030674730280628053,"[0.9843419790267944, 0.9843419790267944]"
160,"[10, 7, 4]","[1, 1, 17]","[6, 4, 3]","[32, 2, 2]",0.007042198006567759,"[1.0357437133789062, 1.0357437133789062]"
161,"[7, 4, 3]","[1, 16, 21]","[6, 5, 3]","[16, 8]",0.01629154217339169,"[0.8883965611457825, 0.8883965611457825]"
162,"[3, 1]","[8, 16]","[3, 2]","[128, 4, 2]",0.020558809029720335,"[0.9842159152030945, 0.9842159152030945]"
163,"[7, 3, 1, 1]","[2, 14, 23, 24]","[9, 6, 2, 2]","[128, 16, 4]",4.261214576561317e-05,"[0.9873603582382202, 0.9873603582382202]"
164,[6],[7],[4],"[64, 2]",0.0006648020220136137,"[0.9512186646461487, 0.9512186646461487]"
165,[10],[11],[4],"[64, 16]",0.0001405744947256739,"[0.9563555121421814, 0.9563555121421814]"
166,"[9, 3, 2]","[8, 12, 20]","[10, 10, 9]","[64, 8, 4]",0.000771616072177379,"[0.7736979722976685, 0.7736979722976685]"
167,"[6, 6, 4, 3, 1]","[3, 3, 9, 15, 19]","[8, 7, 5, 5, 4]","[64, 16, 16]",0.0010091012952921526,"[0.9902864098548889, 0.9902864098548889]"
168,[7],[10],[5],"[32, 8]",6.192921902044753e-05,"[0.9820165038108826, 0.9820165038108826]"
169,"[9, 8, 4]","[5, 6, 10]","[10, 1, 1]","[64, 16, 16]",0.00027168045346190203,"[0.9464410543441772, 0.9464410543441772]"
170,"[10, 10, 3, 1]","[3, 9, 10, 17]","[10, 9, 5, 2]","[16, 16, 2]",1.8225993822284466e-05,"[0.9838011860847473, 0.9838011860847473]"
171,[8],[4],[7],"[128, 4, 2]",0.02537280387617385,"[0.9851203560829163, 0.9851203560829163]"
172,"[6, 4, 2, 1]","[6, 7, 13, 15]","[6, 5, 4, 1]",[32],0.00018178945377328375,"[0.9810410737991333, 0.9810410737991333]"
173,"[6, 3, 2]","[1, 7, 10]","[6, 5, 1]","[32, 8, 4]",0.05552280327896847,"[0.987382709980011, 0.987382709980011]"
174,"[10, 7, 4]","[13, 22, 24]","[10, 10, 8]","[128, 16, 4]",0.008988249081714987,"[0.5494625568389893, 0.5494625568389893]"
175,"[9, 2]","[1, 6]","[10, 5]",[32],0.00722286023458578,"[0.7852041721343994, 0.7852041721343994]"
176,"[7, 7, 5, 3]","[2, 11, 14, 22]","[9, 5, 3, 1]","[32, 16, 16]",0.03682460324861992,"[1.0073174238204956, 1.0073174238204956]"
177,[1],[3],[10],"[128, 32, 8]",4.173846231778442e-05,"[0.9829661846160889, 0.9829661846160889]"
178,[2],[8],[3],"[128, 8, 2]",0.0055303377263631855,"[1.6914312839508057, 1.6914312839508057]"
179,"[8, 8, 1, 1]","[3, 4, 17, 19]","[4, 3, 2, 1]",[2],1.027640713402181e-05,"[82.45182037353516, 82.45182037353516]"
180,"[6, 6, 4, 3, 1]","[16, 18, 22, 23, 23]","[10, 9, 6, 2, 2]","[128, 64, 16]",9.0227897669003e-05,"[0.979209840297699, 0.979209840297699]"
181,"[7, 4, 4, 2, 1]","[14, 15, 16, 22, 24]","[10, 9, 8, 8, 6]",[4],0.002058804022256479,"[0.07004871219396591, 0.07004871219396591]"
182,"[9, 7]","[13, 23]","[8, 7]","[32, 16, 2]",0.03529322231816008,"[0.9833587408065796, 0.9833587408065796]"
183,"[8, 2]","[5, 22]","[10, 2]",[2],0.0001247033689603534,"[0.9695519804954529, 0.9695519804954529]"
184,"[7, 3]","[11, 21]","[4, 3]","[64, 8, 4]",0.004313263050703606,"[4.118358612060547, 4.118358612060547]"
185,[3],[8],[8],"[128, 4, 2]",0.0025773968843047362,"[16.806785583496094, 16.806785583496094]"
186,[10],[12],[9],"[16, 2]",0.0006595471249895328,"[58.4688835144043, 58.4688835144043]"
187,[3],[9],[5],"[32, 8, 2]",4.366133023905437e-05,"[81.08768463134766, 81.08768463134766]"
188,"[7, 5, 3, 2]","[6, 6, 12, 14]","[8, 5, 2, 1]",[2],0.0026581176546115913,"[0.8092337846755981, 0.8092337846755981]"
